,,,,,,,,
,Sample,Cond,barcode,Size,Region,Qbit,conc,ul DDW + 1 ul lib
1,utRho01,10oC r1,BC01,316,13.30,2.42,11.60,4.8
2,utRho02,10oC r2,BC13,302,1.75,0.86,4.30,1.2
3,utRho03,10oC r3,BC25,326,9.63,2.12,9.85,3.9
4,utRho04,10oC+ r1,BC37,325,5.39,1.45,6.76,2.4
5,utRho05,10oC+ r2,BC49,289,10.3,1.69,8.86,3.4
6,utRho06,10oC+ r3,BC61,293,7.98,1.57,8.12,3.1
7,utRho07,25oC r1,BC73,295,15.10,2.48,12.74,5.4
8,utRho08,25oC r2,BC85,279,8.41,1.23,6.68,2.3
9,utRho09,25oC r3,BC02,277,13.50,1.90,10.39,4.2
10,utRho10,25oC+ r1,BC14,304,17.30,2.42,12.06,5.0
11,utRho11,25oC+ r2,BC26,308,8.98,1.32,6.49,2.2
12,utRho12,25oC+ r3,BC38,304,10.80,1.63,8.12,3.1
13,utRho13,37oC r1,BC50,320,24.20,3.84,18.18,8.1
14,utRho14,37oC r2,BC62,315,7.43,2.32,11.16,4.6
15,utRho15,37oC r3,BC74,310,24.20,4.64,22.68,10.3
16,utRho16,37oC+ r1,BC86,308,26.80,4.24,20.86,9.4
17,utRho17,37oC+ r2,BC03,305,27.20,4.04,20.07,9.0
18,utRho18,37oC+ r3,BC15,295,18.70,3.32,17.05,7.5
19,utRho19,44oC r1,BC27,293,3.51,0.66,3.42,0.7
20,utRho20,44oC r2,BC39,299,4.58,0.78,3.97,1.0
21,utRho21,44oC r3,BC51,300,4.06,0.75,3.80,0.9
22,utRho22,44oC+ r1,BC63,302,5.75,1.09,5.47,1.7
23,utRho23,44oC+ r2,BC75,300,7.74,1.34,6.77,2.4
24,utRho24,44oC+ r3,BC86,286,7.90,1.49,7.89,2.9
25,utRho25,51oC r1,BC04,268,5.27,0.80,4.52,1.3
26,utRho26,51oC r2,BC16,254,2.54,0.44,2.60,0.3
27,utRho27,51oC r3,BC28,275,2.83,0.58,3.18,0.6
28,utRho28,51oC+ r1,BC40,280,5.45,1.05,5.68,1.8
29,utRho29,51oC+ r2,BC52,280,7.71,1.32,7.14,2.6
30,utRho30,51oC+ r3,BC64,280,5.45,1.05,5.68,1.8
,,,,,,,,
,Loading:,1220 ul HT1 + 75 ul 20 pM Lib + 1.2 ul 20 pM PhiX,,,,,,
