,TSS,end_x,start_x,gene,strand_x,end_y,start_y,strand_y,strand,ratio_ATCACG,ratio_ACAGTG,ratio_CGATGT,ratio_GCCAAT
0,148,190,148,thrL,+,255.0,190.0,+,+,1.8893967093235833,3.43161094224924,0.8764331210191083,2.2110091743119265
1,148,190,148,thrL,+,255.0,190.0,+,+,1.8893967093235833,3.43161094224924,0.8764331210191083,2.2110091743119265
2,5030,5234,5030,yaaX,+,5530.0,5234.0,+,+,3.3066666666666666,4.896551724137931,0.6591639871382636,1.0813397129186604
3,6587,6587,6459,yaaA,-,6459.0,5683.0,-,-,0.05027932960893855,0.22695035460992907,0.5662650602409639,1.1261261261261262
4,6615,6615,6459,yaaA,-,6459.0,5683.0,-,-,0.07453416149068323,0.2482758620689655,0.6283783783783784,1.2376237623762376
5,8017,8017,7959,yaaJ,-,7959.0,6529.0,-,-,1.9,0.6071428571428571,0.7157894736842105,1.8505747126436782
6,8191,8238,8191,talB,+,9191.0,8238.0,+,+,0.6853002070393375,0.6979502533394749,0.6322469982847342,0.9109461966604824
9,11542,11542,11356,yaaW,-,11356.0,10643.0,-,-,0.4166666666666667,1.0,0.7661469933184856,1.180094786729858
10,11825,11825,11786,yaaI,-,11786.0,11382.0,-,-,1.3333333333333333,1.1666666666666667,0.5478723404255319,0.3688969258589512
11,11913,11913,11786,yaaI,-,11786.0,11382.0,-,-,1.0,1.6666666666666667,0.6746666666666666,0.5640074211502782
12,11938,11938,11786,yaaI,-,11786.0,11382.0,-,-,0.6,1.5,0.7596685082872928,0.6368821292775665
13,12048,12163,12048,dnaK,+,14079.0,12163.0,+,+,0.38673139158576053,0.2719602977667494,0.2024745605920444,0.553460649556015
14,12123,12163,12123,dnaK,+,14079.0,12163.0,+,+,0.873020283412059,0.8218258534714231,0.6687065368567455,1.0140740740740741
15,12144,12163,12144,dnaK,+,14079.0,12163.0,+,+,0.9071808510638298,0.8396122896854425,0.7528710568396569,1.0658980582524271
18,16951,16951,16903,hokC,-,16903.0,16751.0,-,-,0.2926829268292683,0.4045307443365696,1.7365163572060123,0.9102990033222591
19,17317,17489,17317,nhaA,+,18655.0,17489.0,+,+,0.04824561403508772,0.20567375886524822,1.6919191919191918,2.032719836400818
20,17458,17489,17458,nhaA,+,18655.0,17489.0,+,+,0.5463917525773195,0.8781512605042017,0.3986206896551724,0.7245508982035929
21,21120,21120,21078,rpsT,-,21078.0,20815.0,-,-,9.883054345333639,4.676647525293957,3.937269372693727,7.65698041692988
22,21210,21210,21078,rpsT,-,21078.0,20815.0,-,-,0.37747152124654687,0.3927035864164156,0.19570621468926552,0.4418678191209023
23,21383,21407,21383,ribF,+,22348.0,21407.0,+,+,1.547945205479452,1.770419426048565,1.1533333333333333,1.803030303030303
24,21833,22391,21833,ileS,+,25207.0,22391.0,+,+,1.0240112994350283,1.408352668213457,1.3524590163934427,0.759493670886076
25,22034,22391,22034,ileS,+,25207.0,22391.0,+,+,0.19244430093639006,0.17995689655172414,0.31910352187833513,0.17348808796579107
26,22229,22391,22229,ileS,+,25207.0,22391.0,+,+,1.860248447204969,1.450222882615156,0.8087318087318087,2.0155038759689923
27,25014,25207,25014,lspA,+,25701.0,25207.0,+,+,1.2586837294332724,0.620583717357911,0.7375328083989501,1.3316239316239316
28,28288,28374,28288,dapB,+,29195.0,28374.0,+,+,0.717391304347826,0.5810276679841897,0.6074766355140186,0.684931506849315
29,28343,28374,28343,dapB,+,29195.0,28374.0,+,+,0.7379032258064516,0.5337837837837838,0.6846153846153846,0.6813186813186813
30,29551,29651,29551,carA,+,30799.0,29651.0,+,+,0.6081871345029239,0.2796208530805687,0.1828793774319066,0.30063291139240506
31,29619,29651,29619,carA,+,30799.0,29651.0,+,+,1.4947368421052631,0.6640625,0.6594594594594595,0.8489583333333334
32,30775,30817,30775,carB,+,34038.0,30817.0,+,+,0.25142857142857145,0.8769230769230769,0.282312925170068,0.6035714285714285
33,34218,34300,34218,caiF,+,34695.0,34300.0,+,+,1.5714285714285714,1.32,0.24528301886792453,0.49173553719008267
34,35399,35399,35371,caiE,-,35371.0,34781.0,-,-,1.6666666666666667,0.6428571428571429,1.837837837837838,1.178294573643411
35,35440,35440,35371,caiE,-,35371.0,34781.0,-,-,1.5,0.9333333333333333,2.026315789473684,1.3840579710144927
